iter	Logloss
294	0.1991525376
295	0.1991180864
296	0.1990239167
297	0.1989888825
298	0.198951066
299	0.1989268179
300	0.1988993312
301	0.1988378516
302	0.198777072
303	0.1987351523
304	0.1986707441
305	0.1986438029
306	0.1986249999
307	0.1985879025
308	0.1985084283
309	0.1984726929
310	0.1984317163
311	0.1983746483
312	0.198317826
313	0.1983020263
314	0.198244457
315	0.198192587
316	0.1981249095
317	0.1980655806
318	0.1980048651
319	0.1979643442
320	0.1979165848
321	0.197862815
322	0.1978558974
323	0.1978026319
324	0.1977561684
325	0.1977167785
326	0.1976682653
327	0.1976418749
328	0.1975837554
329	0.1975208239
330	0.1974926693
331	0.1974545161
332	0.197403613
333	0.1973570384
334	0.1973142326
335	0.1972779037
336	0.1972459584
337	0.1971911696
338	0.1971258656
339	0.1970891854
340	0.1970676345
341	0.1970564885
342	0.1970178698
343	0.1970027631
344	0.1969608879
345	0.1969234023
346	0.1968514898
347	0.1967927909
348	0.1967266966
349	0.1966899285
350	0.1966313434
351	0.1965584329
352	0.1965062414
353	0.196479881
354	0.196447831
355	0.1964017347
356	0.1963599596
357	0.1963201038
358	0.1962751831
359	0.196227263
360	0.1961822032
361	0.1961567146
362	0.1961145806
363	0.1960762852
364	0.1960388702
365	0.1959630961
366	0.1959096823
367	0.1958664309
368	0.1957987351
369	0.1957668971
370	0.1957111802
371	0.1956841988
372	0.1956655389
373	0.1956309233
374	0.1955770657
375	0.1955370903
376	0.1954706605
377	0.1954360252
378	0.1953968767
379	0.1953816531
380	0.1953566699
381	0.1953260278
382	0.1952745122
383	0.1952303098
384	0.1952102452
385	0.1951374465
386	0.1951001888
387	0.1950275547
388	0.1949879136
389	0.1949298126
390	0.1949033986
391	0.1948476062
392	0.1948129469
393	0.1947951184
394	0.194759109
395	0.1947070523
396	0.194653988
397	0.1946194467
398	0.1945638109
399	0.194521607
400	0.1944889472
401	0.1944590127
402	0.1944335984
403	0.1943821018
404	0.1943523912
405	0.1943125623
406	0.1942859302
407	0.1942422856
408	0.1942080541
409	0.1941873699
410	0.1941516656
411	0.1940919844
412	0.1940586971
413	0.1940324689
414	0.1940109513
415	0.1939781411
416	0.19396081
417	0.1939321331
418	0.1938926962
419	0.1938752466
420	0.1938633564
421	0.1938150409
422	0.1937911103
423	0.1937711368
424	0.1937408775
425	0.1937121137
426	0.1936507236
427	0.1936264959
428	0.1936041775
429	0.1935923842
430	0.1935505498
431	0.1935192817
432	0.1934931927
433	0.1934642554
434	0.1934396922
435	0.1934062689
436	0.1933878332
437	0.193363842
438	0.1933302634
439	0.1932936722
440	0.1932572555
441	0.1932278782
442	0.1931890374
443	0.1931515164
444	0.1931114402
445	0.1930789266
446	0.1930517025
447	0.1930406708
448	0.1930130934
449	0.1929968566
450	0.1929560139
451	0.1929225655
452	0.1928945421
453	0.1928800056
454	0.1928343233
455	0.1928275941
456	0.1927912108
457	0.192772034
458	0.1927666641
459	0.1927448311
460	0.1927199661
461	0.1926852446
462	0.1926787642
463	0.1926498034
464	0.1926066874
465	0.1925658061
466	0.1925609113
467	0.1925181575
468	0.1924751012
469	0.1924360725
470	0.1924318541
471	0.1923923857
472	0.1923573354
473	0.192321903
474	0.1922894875
475	0.1922644725
476	0.1922472281
477	0.1922209627
478	0.1921850616
479	0.1921506571
480	0.1921358971
481	0.1921063669
482	0.1920529828
483	0.1920129301
484	0.191989202
485	0.1919824172
486	0.1919516935
487	0.1919392314
488	0.1919206832
489	0.1918844879
490	0.1918572454
491	0.1918333583
492	0.1917969801
493	0.1917850697
494	0.1917408915
495	0.1916960091
496	0.1916775825
497	0.1916575812
498	0.1916309181
499	0.1915953441
500	0.1915779934
501	0.1915552682
502	0.191539283
503	0.1914952449
504	0.1914822965
505	0.1914627625
506	0.191437651
507	0.191427007
508	0.1914217807
509	0.1914193646
510	0.1913815411
511	0.1913504022
512	0.1913263328
513	0.1913041923
514	0.1912682682
515	0.1912304073
516	0.1912101995
517	0.191188691
518	0.1911711965
519	0.1911315751
520	0.1911007749
521	0.1910499216
522	0.1910312565
523	0.1910063327
524	0.1909781474
525	0.190956263
526	0.190922692
527	0.1908827128
528	0.1908685534
529	0.1908548201
530	0.1908336476
531	0.1908116355
532	0.1907971434
533	0.1907648221
534	0.1907245014
535	0.1906829914
536	0.1906480885
537	0.190630394
538	0.1906077341
539	0.1905844025
540	0.1905565943
541	0.1905377539
542	0.1905251063
543	0.1905076093
544	0.1904669665
545	0.1904443564
546	0.1904273881
547	0.1903981632
548	0.1903722079
549	0.1903404712
550	0.1903250885
551	0.1903077642
552	0.1903054482
553	0.1902819361
554	0.1902638989
555	0.1902317488
556	0.1902123394
557	0.1902085371
558	0.1901724239
559	0.1901565429
560	0.1901212575
561	0.190111088
562	0.1900889211
563	0.1900783202
564	0.1900517224
565	0.1900299661
566	0.1899742203
567	0.1899564512
568	0.1899219211
569	0.1898999484
570	0.1898608877
571	0.1898396913
572	0.1898051515
573	0.1897967829
574	0.1897592915
575	0.189743191
576	0.189712344
577	0.1896880792
578	0.1896697287
579	0.1896598769
580	0.1896325047
581	0.1895944546
582	0.1895795247
583	0.1895668329
584	0.1895579997
585	0.1895390566
586	0.1895229505
587	0.1894976505
588	0.1894842417
589	0.1894687562
590	0.1894408479
591	0.1894160799
592	0.1893788758
593	0.1893589681
594	0.189337199
595	0.1893161392
596	0.1892799943
597	0.1892456537
598	0.1892219953
599	0.189189283
600	0.1891574996
601	0.1891437302
602	0.1891358988
603	0.1891173601
604	0.1890963288
605	0.1890675115
606	0.1890508368
607	0.1890115919
608	0.1889996361
609	0.1889601073
610	0.188940922
611	0.1889182138
612	0.1888993106
613	0.1888799218
614	0.1888546446
615	0.1888439855
616	0.1888170724
617	0.1887857793
618	0.188759097
619	0.1887424155
620	0.1887258899
621	0.1886885283
622	0.1886576107
623	0.1886314079
624	0.1886090968
625	0.1885873804
626	0.1885606416
627	0.188544734
628	0.1885303713
629	0.1884914983
630	0.1884675749
631	0.1884494099
632	0.1884277634
633	0.1884129798
634	0.1883989121
635	0.1883896004
636	0.1883735935
637	0.18836089
638	0.188318345
639	0.1883020883
640	0.188289314
641	0.1882752351
642	0.1882459627
643	0.188222034
644	0.1882101583
645	0.1882028142
646	0.1881829601
647	0.1881645005
648	0.1881445219
649	0.1881210016
650	0.1881107472
651	0.1881034213
652	0.1880591505
653	0.1880313329
654	0.1880238363
655	0.1879754806
656	0.1879575045
657	0.1879354679
658	0.1879154379
659	0.1878832775
660	0.187858857
661	0.1878444303
662	0.1878192484
663	0.1878116681
664	0.1877885525
665	0.1877703794
666	0.1877366747
667	0.1877122548
668	0.1876819871
669	0.1876634262
670	0.1876407012
671	0.1875922984
672	0.1875793669
673	0.1875611192
674	0.1875256646
675	0.1874996009
676	0.1874836764
677	0.187449849
678	0.1874411696
679	0.187436608
680	0.1874330887
681	0.1874310776
682	0.1874066959
683	0.1873942177
684	0.1873494438
685	0.1873197717
686	0.1873027896
687	0.1872844589
688	0.1872757292
689	0.1872565338
690	0.1872268688
691	0.1871945736
692	0.1871538926
693	0.1871277702
694	0.1870944654
695	0.1870840261
696	0.1870507437
697	0.1870392956
698	0.1870169342
699	0.1870030135
700	0.1869716502
701	0.1869508523
702	0.1869235991
703	0.1869030525
704	0.186884708
705	0.1868668928
706	0.1868384702
707	0.1868213747
708	0.1867931437
709	0.1867603029
710	0.1867483798
711	0.1867378731
712	0.1867169349
713	0.1866983954
714	0.1866832324
715	0.1866699105
716	0.1866611828
717	0.1866341845
718	0.186616493
719	0.1866036043
720	0.1865770747
721	0.1865668711
722	0.1865512311
723	0.1865361347
724	0.1865129807
725	0.1864788263
726	0.1864531658
727	0.1864377636
728	0.1864188404
729	0.1864010503
730	0.1863798071
731	0.1863531398
732	0.186338794
733	0.1863317162
734	0.1862971786
735	0.1862764138
736	0.1862603984
737	0.1862375344
738	0.1862242181
739	0.1862128791
740	0.1862025866
741	0.1861792905
742	0.1861542797
743	0.186130457
744	0.1861152461
745	0.186093819
746	0.1860747277
747	0.186050336
748	0.1860343687
749	0.1860019031
750	0.1859933233
751	0.1859704355
752	0.1859460272
753	0.1859067245
754	0.185886696
755	0.1858699966
756	0.1858611376
757	0.1858315336
758	0.185808094
759	0.1857936456
760	0.1857660635
761	0.1857546486
762	0.1857342549
763	0.1857021816
764	0.1856821033
765	0.1856668302
766	0.1856580858
767	0.1856538416
768	0.1856430055
769	0.1856249726
770	0.1856199534
771	0.1855967983
772	0.1855867968
773	0.1855759013
774	0.1855493552
775	0.1855179047
776	0.1855135083
777	0.185481906
778	0.1854532174
779	0.1854344691
780	0.1854122026
781	0.1853859757
782	0.1853839918
783	0.1853735262
784	0.1853538866
785	0.1853385716
786	0.1853266396
787	0.1853194077
788	0.185297518
789	0.1852878845
790	0.1852752998
791	0.1852567519
792	0.1852477822
793	0.1852396375
794	0.1852378304
795	0.1852309888
796	0.1852195379
797	0.1851952175
798	0.1851592513
799	0.1851396094
800	0.1851356375
801	0.1851128041
802	0.1850952433
803	0.1850786986
804	0.1850729603
805	0.1850493801
806	0.1850218934
807	0.1850105506
808	0.1850039721
809	0.1849879668
810	0.1849802343
811	0.1849607771
812	0.1849252749
813	0.1849005304
814	0.1848864912
815	0.1848818624
816	0.1848544943
817	0.184845242
818	0.1848195983
819	0.1847895593
820	0.1847670267
821	0.1847574824
822	0.1847372658
823	0.1847155165
824	0.1846929345
825	0.1846880664
826	0.1846823505
827	0.184667049
828	0.1846382081
829	0.1846335191
830	0.1846009969
831	0.1845782684
832	0.1845577207
833	0.1845406042
834	0.1845055361
835	0.1844847018
836	0.1844522682
837	0.1844242684
838	0.1844115058
839	0.1843947242
840	0.1843783162
841	0.1843488842
842	0.1843427175
843	0.1843155187
844	0.184299061
845	0.1842654206
846	0.1842151246
847	0.1842082107
848	0.1841751449
849	0.1841639618
850	0.1841289953
851	0.1841088178
852	0.1840909287
853	0.1840790945
854	0.1840513373
855	0.1840201237
856	0.1839955442
857	0.1839440695
858	0.1839377452
859	0.183911865
860	0.1838852042
861	0.183850687
862	0.1838346614
863	0.1838122078
864	0.1838047554
865	0.1837970183
866	0.1837840224
867	0.1837716302
868	0.1837671445
869	0.1837556081
870	0.183738073
871	0.1837256753
872	0.183713068
873	0.1836989939
874	0.1836844729
875	0.1836739411
876	0.1836563871
877	0.1836368288
878	0.1836217032
879	0.1836085363
880	0.1835961685
881	0.1835723139
882	0.1835607996
883	0.1835476786
884	0.18354294
885	0.1835286602
886	0.1835193074
887	0.1834959011
888	0.1834798367
889	0.1834625531
890	0.1834341302
891	0.1834255517
892	0.1834152014
893	0.1834037806
894	0.1833727288
895	0.1833520506
896	0.183338492
897	0.1833203445
898	0.1832944424
899	0.1832798392
900	0.1832709489
901	0.1832449801
902	0.1832062838
903	0.1831744847
904	0.1831627588
905	0.1831456114
906	0.1831345153
907	0.1831091259
908	0.1830951981
909	0.1830758701
910	0.1830558015
911	0.1830304226
912	0.1830050187
913	0.1829923534
914	0.1829826983
915	0.1829602435
916	0.1829565059
917	0.1829263622
918	0.1829241653
919	0.1829147902
920	0.1828920621
921	0.1828788943
922	0.182871479
923	0.1828635507
924	0.1828426301
925	0.1828306919
926	0.1828259636
927	0.1828073316
928	0.1827976609
929	0.1827772846
930	0.1827591631
931	0.1827528356
932	0.1827342238
933	0.1827091636
934	0.1826792475
935	0.1826495789
936	0.1826254031
937	0.1826071311
938	0.182582699
939	0.1825625212
940	0.1825421603
941	0.1825114538
942	0.1824846846
943	0.1824560398
944	0.1824357036
945	0.1824185658
946	0.1823977423
947	0.182394016
948	0.1823835442
949	0.1823702524
950	0.1823497345
951	0.1823341901
952	0.1823179529
953	0.182300586
954	0.1822880519
955	0.1822704637
956	0.1822591138
957	0.1822354471
958	0.1822274948
959	0.1822140925
960	0.182198466
961	0.182177772
962	0.182175294
963	0.1821665934
964	0.1821354771
965	0.1821226615
966	0.1821019467
967	0.1820894412
968	0.1820746386
969	0.1820536482
970	0.1820339642
971	0.1820284433
972	0.1820210925
973	0.1820001489
974	0.1819849702
975	0.181977764
976	0.1819543356
977	0.1819503261
978	0.1819429458
979	0.1819176332
980	0.1819051914
981	0.1818873597
982	0.181866784
983	0.1818471515
984	0.1818294481
985	0.1818109779
986	0.1817944642
987	0.1817863711
988	0.1817702906
989	0.181767067
990	0.1817474649
991	0.1817273089
992	0.1817089729
993	0.1816903549
994	0.1816810469
995	0.1816566028
996	0.1816277624
997	0.181610035
998	0.181592413
999	0.1815763144
